entry time,entry position x,entry position y,entry position z,exit position x,exit position y,exit position z
159.5600,161.1615,125.5833,572.5387,0.0000,0.0000,0.0000
160.3300,161.0628,125.5833,576.7809,161.4413,125.5833,668.5334
166.1400,160.9878,125.5833,576.5039,-95.3495,125.5833,455.4801
166.1400,160.6839,125.5000,576.3716,0.0000,0.0000,0.0000
169.6100,159.7740,125.5833,605.7588,161.4971,125.5833,589.8307
169.6100,159.7740,125.5000,605.7588,0.0000,0.0000,0.0000
172.5100,-221.3777,125.5833,455.7263,161.2760,125.5833,698.9160
172.5400,-53.9850,125.5833,699.8649,-221.6541,125.5833,455.2380
173.2900,24.2270,125.5833,455.5040,17.9471,125.5833,454.5367
173.2900,149.6657,125.5833,455.6564,-239.8470,125.5833,546.4099
174.0600,24.2742,125.5833,455.5107,161.4052,125.5833,536.0696
175.2800,-59.4098,125.5833,699.7845,0.0000,0.0000,0.0000
175.2800,-59.6839,125.5000,699.4367,0.0000,0.0000,0.0000
177.6200,-65.2357,125.5833,699.7713,0.0000,0.0000,0.0000
177.6500,-65.6410,125.5000,699.4268,0.0000,0.0000,0.0000
178.3100,-62.4033,125.5833,699.8759,-239.9834,125.5833,548.4111
178.3700,-62.8507,125.5000,699.4855,0.0000,0.0000,0.0000
180.2000,161.0421,125.5833,671.4547,0.0000,0.0000,0.0000
182.6700,-14.9256,125.5833,698.8937,0.0000,0.0000,0.0000
182.6700,-14.6235,125.5000,698.6925,0.0000,0.0000,0.0000
184.4500,161.0106,125.5833,580.8549,161.3390,125.5833,580.7185
184.4800,160.7709,125.5000,580.7803,0.0000,0.0000,0.0000
185.2700,26.3365,125.5833,699.9168,-239.8371,125.5833,475.1813
190.8400,-221.5015,125.5833,455.5626,161.2008,125.5833,479.2476
191.7000,161.0398,125.5833,610.4445,0.0000,0.0000,0.0000
192.3800,-221.4886,125.5833,455.5781,13.8654,125.5833,455.4521
192.4600,161.0311,125.5833,563.5090,-62.9890,125.5833,455.4882
192.4800,160.7956,125.5000,563.4048,0.0000,0.0000,0.0000
195.0100,149.7661,125.5833,455.5292,161.2269,125.5833,549.2492
205.6300,161.0692,125.5833,668.5850,161.4664,125.5833,501.3344
207.0500,161.1126,125.5833,508.3162,91.1993,125.5833,454.7460
207.0800,160.8438,125.5000,508.1102,0.0000,0.0000,0.0000
207.2400,161.1111,125.5833,668.5731,161.6087,125.5833,651.5133
207.8200,160.9293,125.5833,602.7254,-165.0168,125.5833,455.4498
207.8200,160.5882,125.5000,602.6480,0.0000,0.0000,0.0000
208.6100,24.8789,125.5833,455.8847,161.3764,125.5833,536.0629
208.9200,-66.2250,125.5833,699.7294,0.0000,0.0000,0.0000
208.9200,-66.5677,125.5000,699.4119,0.0000,0.0000,0.0000
209.1700,83.0054,125.5833,455.6273,0.0000,0.0000,0.0000
211.4500,-31.0135,125.5833,699.7132,-32.4865,125.5833,700.0210
212.5300,117.0836,125.5833,455.5594,104.4818,125.5833,455.4466
212.6200,117.8469,125.5000,455.9400,0.0000,0.0000,0.0000
214.7500,26.6481,125.5833,699.8458,-240.0528,125.5833,580.4980
217.3000,160.9870,125.5833,668.5127,0.0000,0.0000,0.0000
221.0200,161.1982,125.5833,668.5495,25.9298,125.5833,699.9827
223.6800,150.5048,125.5833,699.9012,0.0000,0.0000,0.0000
224.0100,154.2528,125.5000,699.5583,0.0000,0.0000,0.0000
224.3600,-221.4998,125.5833,455.5886,-106.7407,125.5833,455.1841
225.1700,-27.9399,125.5833,699.5489,0.0000,0.0000,0.0000
225.1700,-27.7532,125.5000,699.2831,0.0000,0.0000,0.0000
226.4000,-39.2595,125.5000,699.3481,0.0000,0.0000,0.0000
226.4000,-39.2952,125.5833,699.7651,0.0000,0.0000,0.0000
228.4200,161.1534,125.5833,535.9987,23.6511,125.5833,455.2266
229.2900,160.9386,125.5833,581.7578,-240.0500,125.5833,459.4608
229.3200,160.6537,125.5000,581.6709,0.0000,0.0000,0.0000
229.5200,-30.7543,125.5833,699.8894,0.0000,0.0000,0.0000
229.5200,-30.4124,125.5000,699.5362,0.0000,0.0000,0.0000
231.0000,-21.8477,125.5833,699.8862,0.0000,0.0000,0.0000
231.0300,-21.2890,125.5000,699.4265,0.0000,0.0000,0.0000
232.6700,26.5451,125.5833,699.8673,0.0000,0.0000,0.0000
233.2700,161.0448,125.5833,587.4678,0.0000,0.0000,0.0000
